日期,品牌ID,品牌名称,门店ID,门店名称,城市,平台,平台i,平台门店名称,GMV,商家实收,门店曝光量,门店访问量,门店下单量,无效订单,有效订单,曝光人数,进店人数,下单人数,cpc总费用,cpc曝光量,cpc访问量,商户补贴,平台补贴
2020-02-09,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1317.5,633.09,2234,173,17,0,17,2234,173,17,47.2,786,68,531,25
2020-02-10,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1654.01,673.11,2370,175,24,0,24,2370,175,23,46.1,740,54,812,16
2020-02-11,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1167.76,455.59,2439,185,16,0,16,2439,185,14,48.8,822,55,604,67
2020-02-12,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1908.22,808.1,2323,186,26,0,26,2323,186,23,49.6,878,67,906,161
2020-02-13,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1278.08,553.17,2372,181,17,0,17,2372,181,15,49.1,1039,80,591,109
2020-02-14,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1738.06,755.48,2843,224,22,0,22,2843,224,18,49.6,1090,81,803,137
2020-02-15,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1316.57,524.51,3154,260,19,0,19,3154,260,18,50,1079,66,662,115
2020-02-16,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1915.36,792.95,2483,204,26,0,26,2483,204,23,48.62,1142,76,929,158
2020-02-17,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1006.99,419.69,1356,107,14,0,14,1356,107,14,10.51,101,13,483,85
2020-02-18,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1384.55,584.82,1537,137,19,0,19,1537,137,18,29.67,524,51,657,106
2020-02-19,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1112.52,454.74,1579,145,17,1,16,1579,145,15,29.9,550,49,549,89
2020-02-20,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1513.37,663.99,1688,147,20,0,20,1688,147,20,29.6,558,51,689,131
2020-02-21,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1825.26,816.25,1756,155,24,1,23,1756,155,21,29.8,490,51,821,165
2020-02-22,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),984.56,396.86,1832,172,14,0,14,1832,172,13,29.97,640,51,488,20
2020-02-23,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),758.35,306.65,1568,126,11,0,11,1568,126,11,30,537,54,378,19
2020-02-24,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1135.14,463.55,1479,152,17,0,17,1479,152,17,29.9,553,52,553,16
2020-02-25,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1370.68,553.47,2218,177,20,0,20,2218,177,20,48.1,874,76,684,20
2020-02-26,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),2294.79,989.24,2432,223,32,0,32,2432,223,31,49.5,859,71,1057,31
2020-02-27,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1708.47,747.47,2174,184,22,0,22,2174,184,21,48.3,769,73,779,20
2020-02-28,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1470.49,616.08,2311,178,22,0,22,2311,178,19,48.6,975,75,695,14
2020-02-28,4636,蛙小辣火锅杯（总账号）,8106681,怒江路店,上海,meituan,美团,蛙小辣·美蛙火锅杯（长风大悦城店）,1433.74,600.1,1193,119,23,0,23,1193,119,22,38.3,732,50,689,153
2020-02-29,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1216.36,557.37,2389,204,14,0,14,2389,204,14,50,888,75,532,13
2020-02-29,4636,蛙小辣火锅杯（总账号）,8106681,怒江路店,上海,meituan,美团,蛙小辣·美蛙火锅杯（长风大悦城店）,1244.88,605.17,1016,77,18,1,17,1016,77,17,11.7,144,10,503,89
